Player,Team,Season,Position,Base Salary,Guaranteed Compensation,Date
Johan Kappelhof,CHI,2019,D,549999.96,577833.29,9/13/19
Matt Hedges,FCD,2019,D,550008,575008,9/13/19
Diego Chara,POR,2019,M,550000.08,568750.08,9/13/19
Leonardo Jara,DCU,2019,D,500000.04,560000.04,9/13/19
Romell Quioto,HOU,2019,M,506668.08,556501.41,9/13/19
Gerso,SKC,2019,M,550008,550008,9/13/19
Andre Blake,PHI,2019,GK,500004,550004,9/13/19
Cristian Penilla,NER,2019,M,500000.04,550000.04,9/13/19
Cristian Espinoza,SJE,2019,M,500000.04,550000.04,9/13/19
Steven Birnbaum,DCU,2019,D,525000,550000,9/13/19
Danny Hoesen,SJE,2019,F,500000.04,549666.71,9/13/19
Brad Smith,SEA,2019,D,529092,549092,9/13/19
Anton Tinnerholm,NYC,2019,D,496800,546800,9/13/19
Kevin Molino,MIN,2019,M,500004,546254,9/13/19
Romario Ibarra,MIN,2019,M,500000.04,546250.04,9/13/19
Danny Wilson,COL,2019,D,500000.04,540000.04,9/13/19
Youness Mokhtar,CLB,2019,M,459996,533845,9/13/19
Lee Nguyen,LAFC,2019,M,525000,530000,9/13/19
Joevin Jones,SEA,2019,M,482004,528670.67,9/13/19
Oriol Rosell,ORL,2019,D,522499.92,522499.92,9/13/19
Zdenek Ondrasek,FCD,2019,F,400000.08,522250.08,9/13/19
Bressan,FCD,2019,D,485300.04,521931.29,9/13/19
Darren Mattocks,CIN,2019,F,519999.96,519999.96,9/13/19
Tomás Martínez,HOU,2019,M,335004,517929,9/13/19
Nedum Onuoha,RSL,2019,D,450000,504000,9/13/19
Xavier Arreaga,SEA,2019,D,393600,500850,9/13/19
Felipe,DCU,2019,M,500000.04,500000.04,9/13/19
Juan Fernando Caicedo,NER,2019,F,500000.04,500000.04,9/13/19
Alexandru Mitrita,NYC,2019,M,500000.04,500000.04,9/13/19
Michael Barrios,FCD,2019,M,500000.04,500000.04,9/13/19
Jefferson Savarino,RSL,2019,M,475008,498695.65,9/13/19
Aníbal Godoy,SJE,2019,D,450000,498125,9/13/19
Leonardo Bertone,CIN,2019,M,450000,496666.67,9/13/19
Eduard Atuesta,LAFC,2019,D,474999.96,492999.96,9/13/19
Will Johnson,ORL,2019,M,455004,491004,9/13/19
Luis Robles,NYRB,2019,GK,490000.08,490000.08,9/13/19
Bill Hamid,DCU,2019,GK,461820,487495,9/13/19
Sebastián Méndez,ORL,2019,D,450000,486750,9/13/19
C.J. Sapong,CHI,2019,F,475000.08,475000.08,9/13/19
Perry Kitchen,LAG,2019,D,450000,474166.67,9/13/19
Pablo Aránguiz,FCD,2019,M,406666.68,466666.68,9/13/19
Benny Feilhaber,SKC,2019,M,413400,463400,9/13/19
Carlos Ascues,ORL,2019,D,420000,451500,9/13/19
Magnus Eriksson,SJE,2019,M,450000,450000,9/13/19
Josué Colmán,ORL,2019,M,450000,450000,9/13/19
Erik Godoy,VAN,2019,D,381818.16,449318.16,9/13/19
Jack Price,COL,2019,M,429999.96,437499.96,9/13/19
Laurent Ciman,TOR,2019,D,399999.96,435624.96,9/13/19
Antonio Mlinar Delamea,NER,2019,D,425004,425004,9/13/19
Ronald Matarrita,NYC,2019,D,300000,420000,9/13/19
Uriel Antuna,LAG,2019,M,420000,420000,9/13/19
Romain Métanire,MIN,2019,D,305000.04,411833.37,9/13/19
Artur,CLB,2019,D,360000,411633.33,9/13/19
Ethan Finlay,MIN,2019,M,400008,400008,9/13/19
Sean Johnson,NYC,2019,GK,399999.96,399999.96,9/13/19
Ebenezer Ofori,NYC,2019,D,324999.96,399999.96,9/13/19
Michaell Chirinos,VAN,2019,M,360000,396875,9/13/19
Tomás Conechny,POR,2019,M,396000,396000,9/13/19
Kekuta Manneh,CIN,2019,M,375000,391666.67,9/13/19
Caleb Stanko,CIN,2019,D,337500,390833.33,9/13/19
Marcos López,SJE,2019,D,279999.96,387749.96,9/13/19
Kemar Lawrence,NYRB,2019,D,339999.96,382749.96,9/13/19
Alex Bono,TOR,2019,GK,350000.04,382000.04,9/13/19
Ismael Tajouri-Shradi,NYC,2019,M,350000.04,380500.04,9/13/19
Drew Moor,TOR,2019,D,375000,375000,9/13/19
David Bingham,LAG,2019,GK,375000,375000,9/13/19
Marquinhos Pedroso,DCU,2019,D,375000,375000,9/13/19
Ike Opara,MIN,2019,D,350000.04,367916.71,9/13/19
Justen Glad,RSL,2019,D,345000,366700,9/13/19
Harrison Afful,CLB,2019,D,288099.96,363799.96,9/13/19
David Ousted,CHI,2019,GK,268181.88,361136.43,9/13/19
Kai Wagner,PHI,2019,D,318000,360150,9/13/19
Rodney Wallace,SKC,2019,M,360000,360000,9/13/19
Emerson Hyndman,ATL,2019,M,360000,360000,9/13/19
Will Bruin,SEA,2019,F,350000.04,358333.37,9/13/19
Ilsinho,PHI,2019,M,330000,357000,9/13/19
Eloy Room,CLB,2019,GK,300000,354694.33,9/13/19
Diego Rubio,COL,2019,F,324999.96,353749.96,9/13/19
Darwin Cerén,HOU,2019,D,300000,349375,9/13/19
Diego Palacios,LAFC,2019,D,324000,348000,9/13/19
Andrew Farrell,NER,2019,D,209229.96,344229.96,9/13/19
Miguel Ibarra,MIN,2019,M,309996,342318,9/13/19
Sam Nicholson,COL,2019,M,300000,342073,9/13/19
Tim Melia,SKC,2019,GK,325008,341674.67,9/13/19
Marc Rzatkowski,NYRB,2019,M,300000,341666.67,9/13/19
David Guzmán,CLB,2019,D,320000.04,340000.04,9/13/19
Stefan Frei,SEA,2019,GK,325000.08,337500.08,9/13/19
Thomás Chacón,MIN,2019,M,324999.96,336999.96,9/13/19
Luis Díaz,CLB,2019,M,300000,333900,9/13/19
Allan Cruz,CIN,2019,M,300000,333125,9/13/19
Justin Morrow,TOR,2019,D,330000,330000,9/13/19
Przemyslaw Tyton,CIN,2019,GK,231750,328438,9/13/19
Sean Davis,NYRB,2019,M,300000,327500,9/13/19
Kelyn Rowe,RSL,2019,M,261399.96,326399.96,9/13/19
Kyle Beckerman,RSL,2019,D,300000,325000,9/13/19
Florentin Pogba,ATL,2019,D,300000,324000,9/13/19
Nick Rimando,RSL,2019,GK,300000,322500,9/13/19
Milton Valenzuela,CLB,2019,D,290000.04,321300.04,9/13/19
Harold Cummings,SJE,2019,D,270000,320666.67,9/13/19
Nicolás Mezquida,COL,2019,F,320000.04,320000.04,9/13/19
Michael Boxall,MIN,2019,D,300000,317333.33,9/13/19
Sebastian Lletget,LAG,2019,M,300000,312666.67,9/13/19
Anthony Blondell,VAN,2019,F,262500,307703.25,9/13/19
Erickson Gallardo,TOR,2019,M,275004,306916.6,9/13/19
Mathias Jørgensen,NYRB,2019,F,275000.04,306250.04,9/13/19
Judson,SJE,2019,D,300000,305000,9/13/19
Adam Lundkvist,HOU,2019,D,274999.92,303749.92,9/13/19
Lassi Lappalainen,MTL,2019,M,302574,302574,9/13/19
Rasmus Schüller,MIN,2019,M,275004,300004,9/13/19
Michael Parkhurst,ATL,2019,D,300000,300000,9/13/19
Franco Escobar,ATL,2019,D,300000,300000,9/13/19
Eric Remedi,ATL,2019,D,300000,300000,9/13/19
Luis Caicedo,NER,2019,D,300000,300000,9/13/19
Frédéric Brillant,DCU,2019,D,264999.96,299999.96,9/13/19
Rod Fanni,MTL,2019,D,299250,299250,9/13/19
